iter	Passed	Remaining
403	7235	10673
404	7251	10653
405	7267	10633
406	7284	10613
407	7301	10594
408	7319	10575
409	7335	10556
410	7350	10533
411	7364	10510
412	7381	10491
413	7399	10473
414	7414	10451
415	7430	10431
416	7446	10411
417	7464	10392
418	7479	10371
419	7496	10352
420	7513	10333
421	7530	10314
422	7547	10294
423	7563	10275
424	7580	10256
425	7599	10239
426	7615	10220
427	7630	10198
428	7647	10178
429	7663	10158
430	7678	10137
431	7695	10118
432	7712	10099
433	7727	10077
434	7743	10057
435	7761	10039
436	7774	10016
437	7790	9996
438	7808	9978
439	7824	9958
440	7842	9940
441	7859	9922
442	7874	9901
443	7891	9882
444	7910	9865
445	7925	9844
446	7942	9825
447	7959	9807
448	7976	9789
449	7992	9769
450	8009	9749
451	8025	9730
452	8040	9709
453	8058	9691
454	8075	9673
455	8093	9655
456	8109	9635
457	8125	9615
458	8140	9594
459	8156	9575
460	8172	9555
461	8189	9536
462	8205	9516
463	8223	9499
464	8239	9479
465	8255	9459
466	8284	9455
467	8316	9453
468	8347	9450
469	8368	9436
470	8386	9419
471	8421	9420
472	8444	9408
473	8462	9390
474	8480	9372
475	8499	9356
476	8516	9337
477	8533	9319
478	8551	9301
479	8573	9287
480	8594	9273
481	8612	9255
482	8631	9239
483	8650	9222
484	8668	9204
485	8705	9206
486	8734	9200
487	8764	9195
488	8783	9178
489	8798	9157
490	8813	9136
491	8829	9116
492	8848	9100
493	8863	9078
494	8879	9058
495	8895	9038
496	8911	9018
497	8927	8999
498	8944	8980
499	8961	8961
500	8976	8940
501	8992	8921
502	9009	8901
503	9028	8885
504	9043	8864
505	9061	8846
506	9075	8825
507	9092	8805
508	9108	8786
509	9124	8766
510	9141	8748
511	9156	8727
512	9175	8710
513	9189	8688
514	9206	8670
515	9222	8650
516	9240	8632
517	9256	8612
518	9274	8595
519	9288	8574
520	9305	8555
521	9324	8538
522	9337	8516
523	9353	8497
524	9371	8478
525	9388	8459
526	9401	8438
527	9417	8418
528	9433	8399
529	9449	8379
530	9467	8362
531	9483	8342
532	9498	8322
533	9515	8303
534	9531	8284
535	9546	8264
536	9564	8246
537	9581	8227
538	9596	8207
539	9614	8189
540	9629	8169
541	9645	8150
542	9662	8132
543	9677	8112
544	9694	8093
545	9709	8073
546	9726	8055
547	9743	8036
548	9759	8017
549	9776	7999
550	9792	7979
551	9808	7960
552	9824	7941
553	9841	7922
554	9858	7904
555	9874	7885
556	9891	7867
557	9909	7849
558	9928	7832
559	9947	7816
560	9965	7798
561	9983	7781
562	9997	7760
563	10018	7744
564	10034	7726
565	10049	7705
566	10063	7685
567	10079	7665
568	10101	7651
569	10120	7634
570	10138	7617
571	10156	7599
572	10173	7581
573	10194	7566
574	10212	7548
575	10230	7530
576	10247	7512
577	10262	7492
578	10277	7473
579	10293	7454
580	10310	7435
581	10329	7418
582	10347	7400
583	10364	7383
584	10382	7365
585	10400	7347
586	10417	7329
587	10436	7312
588	10453	7294
589	10470	7276
590	10487	7257
591	10502	7238
592	10518	7219
593	10534	7200
594	10553	7183
595	10567	7163
596	10584	7144
597	10600	7125
598	10617	7108
599	10632	7088
600	10651	7071
601	10665	7051
602	10682	7033
603	10699	7015
604	10714	6995
605	10730	6976
606	10747	6958
607	10765	6940
608	10780	6921
609	10797	6903
610	10814	6885
611	10829	6866
612	10847	6848
613	10863	6829
614	10878	6810
615	10897	6793
616	10912	6774
617	10928	6755
618	10945	6737
619	10963	6719
620	10978	6700
621	10995	6681
622	11012	6663
623	11027	6645
624	11046	6627
625	11060	6608
626	11077	6590
627	11092	6571
628	11110	6553
629	11127	6535
630	11143	6516
631	11158	6497
632	11174	6478
633	11195	6462
634	11209	6443
635	11226	6425
636	11243	6407
637	11258	6388
638	11273	6369
639	11291	6351
640	11306	6332
641	11323	6314
642	11340	6296
643	11356	6277
644	11372	6259
645	11392	6243
646	11408	6224
647	11425	6206
648	11441	6187
649	11456	6168
650	11470	6149
651	11487	6131
652	11504	6113
653	11519	6094
654	11535	6075
655	11553	6058
656	11570	6040
657	11587	6022
658	11605	6005
659	11619	5985
660	11636	5967
661	11653	5949
662	11668	5931
663	11687	5914
664	11703	5895
665	11719	5877
666	11735	5858
667	11751	5840
668	11768	5822
669	11785	5804
670	11801	5786
671	11818	5768
672	11836	5751
673	11852	5732
674	11867	5714
675	11886	5696
676	11900	5678
677	11919	5660
678	11933	5641
679	11949	5623
680	11965	5605
681	11983	5587
682	11999	5569
683	12013	5550
684	12030	5532
685	12045	5513
686	12063	5496
687	12079	5477
688	12096	5459
689	12113	5442
690	12134	5426
691	12147	5406
692	12162	5388
693	12179	5370
694	12195	5351
695	12210	5333
696	12227	5315
697	12244	5297
698	12258	5278
699	12275	5260
700	12293	5243
701	12309	5225
702	12325	5207
703	12340	5188
704	12357	5170
705	12373	5152
706	12390	5134
707	12407	5117
708	12425	5099
709	12448	5084
710	12468	5067
711	12487	5051
712	12504	5033
713	12521	5015
714	12540	4998
715	12558	4981
716	12576	4964
717	12598	4948
718	12618	4931
719	12637	4914
720	12656	4897
721	12677	4881
722	12696	4864
723	12714	4846
724	12731	4829
725	12749	4811
726	12766	4794
727	12783	4776
728	12801	4758
729	12818	4741
730	12834	4722
731	12850	4704
732	12867	4687
733	12885	4669
734	12902	4652
735	12919	4634
736	12936	4616
737	12953	4598
738	12972	4581
739	12989	4563
740	13005	4545
741	13025	4529
742	13045	4512
743	13064	4495
744	13081	4477
745	13099	4460
746	13118	4443
747	13136	4425
748	13153	4407
749	13172	4390
750	13191	4373
751	13210	4356
752	13229	4339
753	13246	4321
754	13265	4304
755	13283	4287
756	13299	4269
757	13319	4252
758	13335	4234
759	13354	4217
760	13360	4196
761	13377	4178
762	13394	4160
763	13414	4143
764	13431	4126
765	13450	4108
766	13469	4091
767	13487	4074
768	13505	4056
769	13523	4039
770	13542	4022
771	13563	4005
772	13585	3989
773	13606	3973
774	13626	3956
775	13648	3939
776	13667	3922
777	13686	3905
778	13706	3888
779	13721	3870
780	13740	3852
781	13761	3836
782	13779	3818
783	13796	3801
784	13815	3783
785	13833	3766
786	13850	3748
787	13868	3731
788	13885	3713
789	13902	3695
790	13920	3678
791	13938	3660
792	13956	3643
793	13974	3625
794	13990	3607
795	14005	3589
796	14021	3571
797	14039	3553
798	14056	3536
799	14078	3519
800	14090	3500
801	14104	3482
802	14122	3464
803	14138	3446
804	14155	3428
805	14172	3411
806	14188	3393
807	14201	3374
808	14218	3356
809	14235	3339
810	14253	3321
811	14271	3304
812	14288	3286
813	14304	3268
814	14318	3250
815	14334	3232
816	14351	3214
817	14371	3197
818	14385	3179
819	14399	3160
820	14417	3143
821	14433	3125
822	14452	3108
823	14472	3091
824	14486	3072
825	14505	3055
826	14521	3037
827	14538	3020
828	14553	3002
829	14576	2985
830	14588	2966
831	14604	2949
832	14621	2931
833	14638	2913
834	14652	2895
835	14669	2877
836	14681	2859
837	14694	2840
838	14709	2822
839	14726	2805
840	14743	2787
841	14761	2769
842	14787	2753
843	14812	2737
844	14843	2722
845	14862	2705
846	14878	2687
847	14895	2669
848	14913	2652
849	14931	2635
850	14951	2617
851	14970	2600
852	14983	2582
853	15001	2564
854	15019	2547
855	15038	2529
856	15056	2512
857	15075	2494
858	15093	2477
859	15112	2460
860	15131	2442
861	15150	2425
862	15169	2408
863	15189	2390
864	15212	2374
865	15234	2357
866	15253	2339
867	15272	2322
868	15299	2306
869	15318	2289
870	15337	2271
871	15356	2254
872	15374	2236
873	15390	2218
874	15411	2201
875	15437	2185
876	15464	2168
877	15482	2151
878	15497	2133
879	15522	2116
880	15547	2099
881	15566	2082
882	15579	2064
883	15597	2046
884	15616	2029
885	15634	2011
886	15654	1994
887	15670	1976
888	15688	1958
889	15703	1940
890	15727	1924
891	15745	1906
892	15764	1888
893	15778	1870
894	15795	1853
895	15812	1835
896	15831	1817
897	15854	1800
898	15866	1782
899	15882	1764
900	15901	1747
901	15920	1729
902	15936	1711
903	15958	1694
904	15971	1676
905	15990	1659
906	16009	1641
907	16028	1624
908	16048	1606
909	16067	1589
910	16080	1570
911	16097	1553
912	16116	1535
913	16132	1517
914	16159	1501
915	16176	1483
916	16194	1465
917	16220	1448
918	16238	1431
919	16259	1413
920	16276	1396
921	16295	1378
922	16316	1361
923	16336	1343
924	16356	1326
925	16383	1309
926	16405	1291
927	16423	1274
928	16447	1257
929	16466	1239
930	16486	1221
931	16507	1204
932	16533	1187
933	16554	1169
934	16574	1152
935	16602	1135
936	16621	1117
937	16642	1100
938	16661	1082
939	16675	1064
940	16695	1046
941	16714	1029
942	16732	1011
943	16751	993
944	16769	976
945	16785	958
946	16804	940
947	16825	922
948	16844	905
949	16862	887
950	16879	869
951	16899	852
952	16919	834
953	16943	816
954	16963	799
955	16981	781
956	17000	763
957	17026	746
958	17046	728
959	17065	711
960	17084	693
961	17110	675
962	17133	658
963	17160	640
964	17180	623
965	17209	605
966	17231	588
967	17251	570
968	17274	552
969	17294	534
970	17317	517
971	17339	499
972	17360	481
973	17387	464
974	17408	446
975	17427	428
976	17446	410
977	17465	392
978	17487	375
979	17505	357
980	17523	339
981	17542	321
982	17564	303
983	17585	285
984	17603	268
985	17621	250
986	17640	232
987	17659	214
988	17679	196
989	17700	178
990	17720	160
991	17738	143
992	17755	125
993	17775	107
994	17795	89
995	17816	71
996	17836	53
997	17854	35
998	17873	17
999	17891	0
