inscribed_circle_radius,wings_body_ratio,central_rgb_variation,ID,bug_type,species
128.1288414058287,2.4533627044105972,42.03370243226962,1,Bee,Apis mellifera
109.65856099730654,4.428288710181921,44.635806388611364,2,Bee,Apis mellifera
179.17589123540031,4.255206589653071,53.738154394053765,3,Bee,Apis mellifera
104.34557968596465,8.245691867657488,39.44327728742662,4,Bee,Apis mellifera
88.81441324469807,7.871959942563044,71.49921391204634,5,Bee,Apis mellifera
73.78346698278686,7.2937149367424645,40.30881241548922,6,Bee,Apis mellifera
113.37107214805724,2.35952768228242,46.22649650602665,7,Bee,Apis mellifera
87.05170877128145,6.482592571259976,55.94229480850729,8,Bee,Apis mellifera
32.0,52.66163802931798,59.366593155390945,9,Bee,Apis mellifera
77.0,19.32533982295856,61.73965695515867,10,Bee,Apis mellifera
100.41912168506553,9.324048454464036,47.79272896328328,11,Bee,Apis mellifera
52.49761899362675,48.993709145086015,43.616416128794015,12,Bee,Apis mellifera
161.96913286178943,3.750818125170334,37.9139734313426,13,Bee,Apis mellifera
60.166435825965294,22.19951484833121,56.14042324897403,14,Bee,Apis mellifera
119.5198728245642,7.529100587681122,45.906141703520234,15,Bee,Apis mellifera
115.43396380615195,8.631471895718017,40.52958857856601,16,Bee,Apis mellifera
127.94530081249565,5.899371644210912,39.71808736753203,17,Bee,Apis mellifera
201.0,1.5953116598167807,52.26429801434418,18,Bee,Apis mellifera
140.356688476182,3.7950395149073146,37.80889804475729,19,Bee,Apis mellifera
155.1934276958918,5.1329202563297445,43.56192983142364,20,Bee,Apis mellifera
79.12016177940993,18.56792228436233,49.072493142559125,21,Bee,Apis mellifera
103.24727599312246,8.874772923168816,67.40388212283189,22,Bee,Apis mellifera
114.0,8.854796678647793,42.69053258833466,23,Bee,Apis mellifera
112.61438629233834,12.55141215576223,39.1090831073728,24,Bee,Megachile centuncularis
182.4828759089466,1.632403641029067,36.326791601835716,25,Bee,Apis mellifera
64.81512169239521,28.784515941412156,60.45323603996849,26,Bee,Andrenidae
42.01190307520001,15.269512613200174,39.19781840334691,27,Bee,Apis mellifera
67.26812023536856,11.754483691387362,49.7021725873758,28,Bee,Apis mellifera
45.0,55.286462091262024,56.466972478985696,29,Bee,Andrenidae
27.65863337187866,177.25769717646767,49.330999596514665,30,Bee,Apis mellifera
137.13132391981054,3.615552593727801,37.12626223802134,31,Bee,Apis mellifera
70.00714249274856,14.375776873117854,75.80716505871698,32,Bee,Apis mellifera & Megachile centuncularis
121.79490958164057,3.2002570946061444,44.41768935118345,33,Bee,Apis mellifera
72.12489168102785,10.809284539437622,43.555656204228704,34,Bee,Apis mellifera
75.0066663703967,6.355979655581118,53.42054330466871,35,Bee,Apis mellifera
84.0,9.239328901141167,35.06547094251149,36,Bee,Apis mellifera
47.50789408087881,34.36032176049221,65.45877553824569,37,Bee,Apis mellifera
142.30249470757707,3.3648537874328395,55.659872578000964,38,Bee,Apis mellifera
187.94946129212502,2.5866608310559465,60.36672280535612,39,Bee,Apis mellifera
108.04628637764465,8.565492925448035,43.7415559418205,40,Bee,Andrenidae
84.34453153583817,9.083004811884294,40.00980374925371,41,Bee,Andrenidae
156.8948692596415,3.1132656250349586,37.90131166966497,42,Bee,Apis mellifera
172.88724649319857,3.9561349799547236,40.83929138336274,43,Bee,Apis mellifera
88.52683209061533,11.237851466979823,54.68309881268033,44,Bee,Apis mellifera
133.82077566656082,4.808248911563396,40.21695923436704,45,Bee,Megachile centuncularis
168.30923919975396,4.6455620299937666,51.743760417223086,46,Bee,Megachile centuncularis
84.72307831990054,11.894876280867567,55.52932989121704,47,Bee,Megachile centuncularis
154.37940277122465,2.059998025981909,63.75529670643783,48,Bee,Megachile centuncularis
276.63152387246106,0.7774856638141069,34.16825137881213,49,Butterfly,Pieris rapae
138.0,6.962627772467361,37.52609520536882,50,Bee,Megachile centuncularis
183.09833423600554,3.9986947770008245,45.18615795821575,51,Bee,Megachile centuncularis
167.0029939851379,4.5856366001232205,51.27557004662656,52,Bee,Megachile centuncularis
151.58495967608397,4.479894889746014,44.547735455068995,53,Bee,Megachile centuncularis
111.04053313993049,6.3053280594093035,31.76618850082431,54,Bee,Megachile centuncularis
0.0,0.0,26.436075580160065,55,Bee,Megachile centuncularis
99.72963451251589,5.550155618888405,31.150964689812188,56,Bee,Anthidium manicatum
106.45186705737011,4.303067422556496,32.164798646654695,57,Bee,Anthidium manicatum
49.4064773081425,31.559671799040697,32.149475143289116,58,Bee,Anthidium manicatum
24.758836806279895,141.96216088837932,32.583976046156735,59,Bee,Anthidium manicatum
76.40026177965623,9.421717616722951,45.0158458791072,60,Bee,Anthidium manicatum (+Apis mellifera)
79.05694150420949,19.77539872186186,53.520013942416846,61,Bee,Anthidium manicatum
102.17631819555841,13.67481749993754,42.699367878560146,62,Bee,Anthidium manicatum
135.95955280891445,4.448996870135462,58.75932507268367,63,Bee,Anthidium manicatum
111.0,15.319756390108612,27.449232980766393,64,Bee,Anthidium manicatum
151.4859729479928,7.127083353415218,41.641645442564396,65,Bee,Anthidium manicatum
80.05623023850174,28.39039760463723,39.426242320960014,66,Bee,Anthidium manicatum
82.03657720797473,18.876536857201437,53.918668354785204,67,Bee,Anthidium manicatum
51.478150704935004,45.5472354167539,56.863502972888966,68,Bee,Anthidium manicatum
223.14345161801185,1.7200526847480213,61.231513298754244,69,Bee,Xylocopa
168.5734261382855,3.1040547059544195,40.35924877158276,70,Bee,Xylocopa
100.0,4.2518584741235985,46.22421244006943,71,Hover fly,Eristalis
